zone,severity,latitude,longitude,population,daily_water_need_liters,daily_food_need_kg,daily_medical_cases,water_stock_liters,food_stock_kg,medical_kit_stock,primary_ngo,nearest_supply_route,conflict_risk,warehouse_lat,warehouse_long,restock_interval_days,next_restock_date,transit_time_hours,maintenance_type,maintenance_interval_days,next_maintenance_date,fallback_warehouse_lat,fallback_warehouse_long,fallback_transit_time_hours,fallback_trigger,route_priority,priority_index
Zone_11,Critical,33.10604721,42.2016816,29335,58670,14667.5,131,526758.4953,37581.69845,135.6197641,GlobalRelief,SR River Route,Medium,32.79339763,41.75838625,13,2026-04-10,7.618684442,Vehicle Maintenance,82,2026-06-18,32.6591251,42.0568708,4.896202385,Conflict_Risk_High,Fallback,42
Zone_12,Moderate,36.93834004,42.37591922,16254,32508,8127.0,79,357673.8573,55721.49943,789.6165442,SolidarityAid,R-31 Eastern Bypass,Low,37.34780084,42.43972261,4,2026-04-01,6.506283778,Generator Service,81,2026-06-17,37.0657214,41.83162243,3.303419339,Conflict_Risk_Medium,Primary,50
Zone_13,Moderate,36.7202967,47.43862472,26074,52148,13037.0,209,517407.8643,145075.8403,1718.076824,SolidarityAid,SR Lake Access,Medium,36.74029482,47.14925644,9,2026-04-06,6.061955704,Routine Inspection,30,2026-04-27,36.14587571,46.78320316,5.550987679,Conflict_Risk_High,Primary,93
Zone_14,Critical,32.19713406,42.83547223,16442,32884,8221.0,106,288182.5736,66619.94287,856.5337561,GlobalRelief,R-04 Pine Road,High,32.48507498,43.28431807,10,2026-04-07,2.095705297,Vehicle Maintenance,40,2026-05-07,32.52454363,43.05498383,5.659366814,Route_Disruption,Auto-Switch,66
Zone_15,Critical,35.52787586,45.19452409,18521,37042,9260.5,164,325833.7234,69121.02711,916.3556871,RescueFront,R-04 Pine Road,High,35.25571905,45.03006504,8,2026-04-05,6.862351449,Routine Inspection,87,2026-06-23,36.22053103,45.34887266,8.63689418,Primary_Maintenance,Auto-Switch,77
Zone_16,Critical,36.62624159,44.46657362,25979,51958,12989.5,84,595399.5265,58419.52016,310.8507147,MedGlobal,R-09 Hill Corridor,High,36.61646356,44.29179481,11,2026-04-08,2.594978264,Structural Check,69,2026-06-05,37.07303568,44.75827613,7.571914692,Conflict_Risk_High,Auto-Switch,85
Zone_17,Severe,32.90287673,44.08405996,9559,19118,4779.5,242,94791.65096,25965.852,571.4536116,HopeBridge,SR Harbor Link,Medium,32.76116619,44.50744463,12,2026-04-09,3.688381085,Vehicle Maintenance,115,2026-07-21,32.98086168,44.30860097,6.057057907,Conflict_Risk_High,Primary,73
Zone_18,Severe,34.83972615,47.39900007,21199,42398,10599.5,242,85267.5057,111511.8718,862.0215812,HopeBridge,R-22 Desert Track,Medium,35.16755476,47.31634799,5,2026-04-02,5.58468692,Generator Service,89,2026-06-25,34.81836405,46.85901263,7.56479785,Primary_Maintenance,Primary,42
Zone_19,Severe,36.57744149,42.13094038,12291,24582,6145.5,76,116015.8698,46657.75029,333.1643158,RescueFront,R-17 Mountain Pass,Low,36.10004593,42.59380271,7,2026-04-04,4.936261802,Routine Inspection,73,2026-06-09,37.04648343,41.83845081,3.369483454,Conflict_Risk_Medium,Fallback,33
Zone_20,Severe,32.16972989,45.98273812,13160,26320,6580.0,202,109989.0111,47030.03635,1576.971756,ReliefAid Intl,R-09 Hill Corridor,Medium,31.91357262,45.50690847,12,2026-04-09,2.102533534,Routine Inspection,35,2026-05-02,32.78009361,45.46407537,4.261900752,Route_Disruption,Auto-Switch,62
Zone_21,Moderate,35.48710134,47.78036661,5112,10224,2556.0,125,88113.96798,7657.257478,732.1195125,RescueFront,R-17 Mountain Pass,Low,35.13967556,47.58671118,8,2026-04-05,7.35590288,Generator Service,57,2026-05-24,36.17199047,48.26052797,7.388634987,Conflict_Risk_Medium,Fallback,66
Zone_22,Critical,33.48674504,45.3610091,26515,53030,13257.5,200,442117.2614,28639.93284,339.4705278,ReliefAid Intl,SR River Route,Low,33.84593408,45.52720206,6,2026-04-03,7.712206228,Vehicle Maintenance,60,2026-05-27,33.34189996,45.70667422,7.489567735,Route_Disruption,Primary,82
Zone_23,Severe,36.62198098,47.62093477,24581,49162,12290.5,203,390081.485,143022.7281,235.9389994,ReliefAid Intl,SR Ridge Road,Low,36.58952483,48.01179174,9,2026-04-06,6.432174133,Vehicle Maintenance,37,2026-05-04,37.30926544,47.20307258,8.418942611,Route_Disruption,Fallback,53
Zone_24,Severe,36.85529123,42.31354728,20924,41848,10462.0,245,90493.55611,60364.29282,470.6424559,RescueFront,R-09 Hill Corridor,Medium,36.75951127,42.06995287,6,2026-04-03,5.516941081,Routine Inspection,34,2026-05-01,36.37358798,42.09138021,5.820998313,Conflict_Risk_High,Fallback,80
Zone_25,Severe,36.72133245,44.51275991,31954,63908,15977.0,28,593563.479,128329.3509,131.4456759,HopeBridge,SR River Route,Medium,36.67081521,44.94323751,8,2026-04-05,8.244795953,Generator Service,83,2026-06-19,36.37630213,45.1660209,8.057878676,Primary_Maintenance,Fallback,70
Zone_26,Moderate,34.37107108,43.56094675,31500,63000,15750.0,41,329824.1599,44055.12403,385.3481864,MedGlobal,R-31 Eastern Bypass,High,34.84299563,43.65506821,6,2026-04-03,2.77971535,Routine Inspection,46,2026-05-13,33.79569366,43.69276985,7.787862328,Conflict_Risk_Medium,Auto-Switch,58
Zone_27,Critical,36.31021325,46.38492579,21523,43046,10761.5,160,372372.001,95036.34386,1077.859573,HopeBridge,R-09 Hill Corridor,Low,36.66048065,46.68593403,9,2026-04-06,6.796415349,Routine Inspection,67,2026-06-03,35.99064718,46.80654363,9.743753649,Conflict_Risk_High,Primary,88
Zone_28,Severe,36.22274699,47.88778254,6424,12848,3212.0,108,97205.19649,36378.04268,887.3747747,HopeBridge,SR Harbor Link,High,36.42911576,47.78498985,13,2026-04-10,2.834343984,Structural Check,38,2026-05-05,36.59785956,47.55820999,4.505911585,Conflict_Risk_High,Auto-Switch,69
Zone_29,Severe,33.59550237,43.53918037,24333,48666,12166.5,195,264125.4322,94371.31301,1013.487413,HopeBridge,SR Harbor Link,High,33.38598133,43.25136076,8,2026-04-05,4.481991193,Vehicle Maintenance,103,2026-07-09,34.08959647,43.13325446,6.861756946,Conflict_Risk_High,Fallback,80
Zone_30,Critical,36.14457737,45.92504761,24552,49104,12276.0,37,164290.3302,40033.91697,157.4348057,RescueFront,R-04 Pine Road,Medium,35.80975037,46.33628302,12,2026-04-09,5.80564931,Vehicle Maintenance,113,2026-07-19,36.53502707,46.32253131,7.212351095,Conflict_Risk_Medium,Auto-Switch,79
Zone_31,Moderate,32.18503817,43.1885858,30092,60184,15046.0,134,177193.0694,117617.821,264.7308495,RescueFront,R-31 Eastern Bypass,Medium,32.6064718,43.62172166,6,2026-04-03,6.791069988,Structural Check,107,2026-07-13,32.36853026,43.44880723,9.990535195,Conflict_Risk_High,Primary,65
Zone_32,Critical,34.98134939,45.39198153,15808,31616,7904.0,223,326124.8362,76380.08372,1980.997576,RescueFront,R-04 Pine Road,Low,34.90442492,45.38955667,9,2026-04-06,2.024154652,Vehicle Maintenance,43,2026-05-10,35.00090251,45.64535063,4.408288995,Primary_Maintenance,Primary,89
Zone_33,Critical,33.15004419,44.78359492,11043,22086,5521.5,187,247009.2811,33483.28907,1505.058329,HopeBridge,R-17 Mountain Pass,High,32.92879999,44.29008994,11,2026-04-08,3.693886261,Vehicle Maintenance,55,2026-05-22,33.44223019,44.85728333,6.66252614,Conflict_Risk_High,Fallback,47
Zone_34,Moderate,32.60283443,47.83203198,11989,23978,5994.5,164,203762.1779,64730.8738,412.1423121,MedGlobal,SR Lake Access,Medium,32.57375526,47.44181493,10,2026-04-07,5.498302544,Vehicle Maintenance,91,2026-06-27,32.4500014,47.92104166,5.423297154,Conflict_Risk_High,Fallback,49
Zone_35,Moderate,32.38476601,45.65116364,28620,57240,14310.0,162,173685.6873,121446.5306,908.8759021,ReliefAid Intl,R-22 Desert Track,High,32.80261343,45.7241916,9,2026-04-06,5.463678915,Generator Service,54,2026-05-21,32.8625977,45.98114014,6.68125078,Route_Disruption,Auto-Switch,34
Zone_36,Moderate,35.48144388,44.09703823,11261,22522,5630.5,125,135588.5698,61893.21034,673.2966589,SolidarityAid,R-31 Eastern Bypass,Medium,35.36851119,43.62081493,5,2026-04-02,6.144571827,Structural Check,109,2026-07-15,35.72951001,43.77504171,4.624900215,Conflict_Risk_High,Primary,47
Zone_37,Severe,33.69937482,42.68457471,5887,11774,2943.5,34,109373.3014,24239.87884,225.2780151,ReliefAid Intl,SR Ridge Road,High,33.76201582,42.58148663,10,2026-04-07,3.975048276,Routine Inspection,65,2026-06-01,33.9763014,42.47845056,3.333286649,Conflict_Risk_Medium,Primary,69
Zone_38,Critical,35.62383386,42.90748097,24488,48976,12244.0,226,479877.0762,40562.89929,2150.544142,ReliefAid Intl,R-22 Desert Track,High,35.92680016,42.71085092,11,2026-04-08,5.513440132,Generator Service,109,2026-07-15,35.67414425,43.42777245,7.007958177,Conflict_Risk_Medium,Auto-Switch,30
Zone_39,Moderate,32.3267817,43.35190158,21433,42866,10716.5,82,136407.5946,54621.11222,509.871324,SolidarityAid,R-22 Desert Track,Low,32.25391424,43.56624986,4,2026-04-01,3.233614053,Routine Inspection,62,2026-05-29,32.86610228,43.08431286,5.350980211,Primary_Maintenance,Primary,48
Zone_40,Severe,33.57645169,43.50579997,25335,50670,12667.5,186,101355.5652,50897.37507,1090.323705,HopeBridge,SR Coastal Highway,Low,33.30999349,43.06137864,12,2026-04-09,3.214669394,Structural Check,32,2026-04-29,33.22927232,43.57063337,4.273589812,Conflict_Risk_Medium,Fallback,55
Zone_41,Critical,34.69745646,47.10369635,24944,49888,12472.0,32,455046.9294,138292.8408,46.49300469,MedGlobal,R-09 Hill Corridor,Medium,35.19198221,47.09242762,7,2026-04-04,5.747665762,Structural Check,116,2026-07-22,34.53106318,47.3873916,5.267548963,Conflict_Risk_Medium,Fallback,58
Zone_42,Severe,35.95361582,45.36733673,21402,42804,10701.0,100,238245.4272,102772.4112,156.6167284,MedGlobal,SR Ridge Road,Medium,36.41018668,45.446451,11,2026-04-08,6.455571803,Structural Check,40,2026-05-07,36.34231542,46.06723149,3.34496141,Conflict_Risk_High,Auto-Switch,88
Zone_43,Critical,33.59376251,45.14034547,26205,52410,13102.5,51,238193.6659,114830.0963,136.9921772,ReliefAid Intl,R-31 Eastern Bypass,Low,33.93724168,45.25763654,13,2026-04-10,2.782599783,Vehicle Maintenance,87,2026-06-23,33.58361097,45.04975333,9.653095639,Primary_Maintenance,Auto-Switch,92
Zone_44,Moderate,35.12945688,42.68861323,27724,55448,13862.0,156,118047.389,69443.95123,201.5889635,SolidarityAid,R-04 Pine Road,High,35.31783076,42.5937709,10,2026-04-07,2.798134362,Generator Service,93,2026-06-29,35.6743565,42.58794326,7.068035405,Conflict_Risk_Medium,Auto-Switch,91
Zone_45,Severe,36.42988874,47.16083816,29442,58884,14721.0,59,435917.9027,56535.23089,453.7203875,GlobalRelief,R-17 Mountain Pass,Medium,36.22475437,46.96520594,13,2026-04-10,5.674467494,Structural Check,47,2026-05-14,36.21484779,47.64046189,8.703380769,Primary_Maintenance,Fallback,77
Zone_46,Moderate,35.07931594,46.33688582,31049,62098,15524.5,167,652743.5837,148484.2492,1254.165447,HopeBridge,R-09 Hill Corridor,High,35.49272888,46.51937885,10,2026-04-07,3.75562239,Routine Inspection,76,2026-06-12,34.89637818,46.76459018,5.961827383,Primary_Maintenance,Auto-Switch,91
Zone_47,Severe,33.16479737,42.40601017,17253,34506,8626.5,237,399452.3759,58156.2352,527.207948,ReliefAid Intl,SR Coastal Highway,High,32.94035404,42.75357922,5,2026-04-02,4.550594165,Vehicle Maintenance,73,2026-06-09,33.70902748,42.72951641,9.323202673,Route_Disruption,Primary,47
Zone_48,Severe,32.12200391,46.24701058,23990,47980,11995.0,238,367404.4273,51073.45678,2028.881006,MedGlobal,R-17 Mountain Pass,Medium,32.4228134,46.44062822,4,2026-04-01,4.60486491,Vehicle Maintenance,88,2026-06-24,32.07212236,46.19553208,6.383227551,Route_Disruption,Auto-Switch,95
Zone_49,Severe,36.35049437,45.2612293,12846,25692,6423.0,232,183559.4043,52451.62966,555.1932408,RescueFront,R-31 Eastern Bypass,High,36.76875254,45.69333167,7,2026-04-04,3.160593585,Generator Service,79,2026-06-15,36.37306879,45.01474407,7.017617255,Conflict_Risk_High,Primary,56
Zone_50,Critical,32.10634705,42.49035207,30027,60054,15013.5,101,171187.7617,36082.52289,374.7686086,RescueFront,SR Lake Access,Medium,32.20935089,42.7076156,5,2026-04-02,2.008545117,Generator Service,98,2026-07-04,31.87221626,42.64257475,6.44255786,Conflict_Risk_Medium,Fallback,35
Zone_51,Moderate,36.37350836,44.74980385,11432,22864,5716.0,96,171222.2773,30075.89173,311.1160409,SolidarityAid,R-22 Desert Track,High,36.67656458,45.01442258,11,2026-04-08,7.545486765,Generator Service,117,2026-07-23,36.06084628,45.27651646,8.132948071,Conflict_Risk_High,Primary,99
Zone_52,Moderate,34.64468567,44.90817772,18452,36904,9226.0,227,214035.4793,61681.06832,987.6234024,SolidarityAid,SR Coastal Highway,Low,34.93638077,44.57608092,13,2026-04-10,6.647512798,Vehicle Maintenance,58,2026-05-25,34.86301387,45.44546616,6.966592543,Conflict_Risk_High,Primary,88
Zone_53,Moderate,36.69533849,42.99464724,18395,36790,9197.5,220,296945.0698,32003.46778,724.2342565,ReliefAid Intl,R-17 Mountain Pass,Low,36.38849624,42.91418689,10,2026-04-07,6.488500628,Structural Check,119,2026-07-25,36.16311542,42.44654492,4.901192465,Primary_Maintenance,Primary,35
Zone_54,Moderate,35.99391618,47.67418888,8765,17530,4382.5,210,103203.7288,51917.48248,1134.117251,GlobalRelief,R-04 Pine Road,Medium,36.16184065,47.65924421,11,2026-04-08,5.552283398,Routine Inspection,96,2026-07-02,36.52489788,47.57387928,4.018776719,Primary_Maintenance,Fallback,60
Zone_55,Severe,36.98967055,47.09985223,23822,47644,11911.0,95,209776.1144,48727.5871,443.3337386,MedGlobal,SR Coastal Highway,Medium,36.58313849,46.85614539,9,2026-04-06,6.556302755,Structural Check,31,2026-04-28,37.38055494,47.05046297,7.242870722,Primary_Maintenance,Primary,85
Zone_56,Moderate,33.75355908,46.01413402,20950,41900,10475.0,191,123590.4503,34604.49037,1886.912955,ReliefAid Intl,R-17 Mountain Pass,Medium,33.76140922,46.04267388,4,2026-04-01,8.081974454,Routine Inspection,54,2026-05-21,33.32060665,46.68279554,6.424259731,Conflict_Risk_High,Primary,83
Zone_57,Critical,35.83594144,44.77377337,17502,35004,8751.0,57,180242.0523,35313.33681,85.69021762,GlobalRelief,SR Coastal Highway,Medium,35.49817699,44.56456531,12,2026-04-09,6.326879285,Structural Check,48,2026-05-15,36.10756937,45.02297059,3.671829877,Conflict_Risk_Medium,Auto-Switch,70
Zone_58,Critical,34.00965457,44.47059325,14741,29482,7370.5,230,87456.83004,71424.65082,524.3154491,SolidarityAid,R-04 Pine Road,Low,33.92600407,44.65809534,9,2026-04-06,3.723094113,Generator Service,69,2026-06-05,34.15334066,44.34073823,5.769322261,Conflict_Risk_High,Auto-Switch,47
Zone_59,Critical,34.3993781,45.9058408,27742,55484,13871.0,207,209117.5042,86763.89,305.4146404,RescueFront,R-04 Pine Road,High,34.73236018,45.87612928,13,2026-04-10,5.708640336,Routine Inspection,31,2026-04-28,33.95772717,45.24232184,6.603434954,Conflict_Risk_High,Auto-Switch,52
Zone_60,Severe,35.13752732,45.27259122,33050,66100,16525.0,90,784829.2008,126484.984,596.9313679,HopeBridge,SR Ridge Road,Medium,35.62469516,45.23139817,4,2026-04-01,4.875108622,Vehicle Maintenance,112,2026-07-18,34.82001222,45.36413044,8.788252637,Conflict_Risk_High,Primary,65
Zone_61,Severe,36.36838557,42.37363864,29703,59406,14851.5,246,382636.159,32823.17495,366.6835402,RescueFront,SR Harbor Link,Medium,36.1863454,42.85728117,4,2026-04-01,5.616724352,Routine Inspection,94,2026-06-30,36.24096668,41.808145,3.532707391,Route_Disruption,Primary,54
Zone_62,Severe,36.92041735,45.07501589,10941,21882,5470.5,67,160148.1799,12824.56474,571.3731616,MedGlobal,R-22 Desert Track,Medium,36.95237304,44.96746074,11,2026-04-08,5.364468103,Vehicle Maintenance,91,2026-06-27,37.19935718,45.54324583,5.439467438,Route_Disruption,Fallback,36
Zone_63,Moderate,35.84136707,46.8384217,29028,58056,14514.0,37,623299.973,93735.1203,207.475564,MedGlobal,R-09 Hill Corridor,High,35.85266509,46.70071714,9,2026-04-06,7.582039354,Structural Check,83,2026-06-19,36.03557984,47.19194783,8.758592859,Conflict_Risk_Medium,Primary,49
Zone_64,Severe,34.08883391,44.75543927,9855,19710,4927.5,163,235646.6303,50095.68711,936.1201853,RescueFront,R-09 Hill Corridor,High,34.54323542,44.57404364,11,2026-04-08,6.236700672,Generator Service,74,2026-06-10,34.1339627,44.70015209,7.538967522,Route_Disruption,Primary,34
Zone_65,Severe,34.10678501,42.31173947,27931,55862,13965.5,202,437239.9457,151559.0356,1222.978815,RescueFront,R-31 Eastern Bypass,Medium,34.08536874,42.70648869,11,2026-04-08,3.226930107,Routine Inspection,78,2026-06-14,34.48255977,42.21263456,5.029708253,Conflict_Risk_High,Fallback,47
Zone_66,Severe,35.68791151,46.7176692,28580,57160,14290.0,58,578730.0361,40970.36851,147.1647547,GlobalRelief,SR River Route,Low,35.88701771,46.71439302,11,2026-04-08,2.409609063,Vehicle Maintenance,98,2026-07-04,36.04902434,47.27394375,8.917345854,Route_Disruption,Primary,62
Zone_67,Critical,33.19388573,43.20818269,27295,54590,13647.5,215,287657.1052,100768.1044,597.5307365,ReliefAid Intl,R-31 Eastern Bypass,Medium,33.61567496,43.30819717,13,2026-04-10,4.758364626,Structural Check,67,2026-06-03,33.35888854,42.91202438,6.453055064,Route_Disruption,Fallback,64
Zone_68,Moderate,32.55237057,43.55172501,27865,55730,13932.5,206,281851.1075,155100.726,797.0873166,SolidarityAid,SR River Route,Medium,32.42574913,43.23254349,10,2026-04-07,2.101469045,Generator Service,33,2026-04-30,32.95415668,43.20035296,6.488463239,Conflict_Risk_High,Fallback,94
Zone_69,Critical,33.77311079,42.98823812,20166,40332,10083.0,108,243082.4648,59285.29283,684.8785162,GlobalRelief,SR Coastal Highway,High,34.17523303,43.02918048,10,2026-04-07,4.068933008,Generator Service,46,2026-05-13,33.54107951,43.60311453,9.836111374,Conflict_Risk_Medium,Auto-Switch,92
Zone_70,Moderate,33.43619496,43.98129039,24145,48290,12072.5,243,421333.7571,124294.335,702.527576,HopeBridge,SR River Route,Low,33.85365118,43.75593858,13,2026-04-10,4.392139551,Generator Service,82,2026-06-18,33.9699443,44.41423456,9.629815523,Route_Disruption,Primary,70
Zone_71,Moderate,33.4815406,46.54050903,25840,51680,12920.0,81,455916.665,43113.47855,165.8058291,RescueFront,SR Harbor Link,High,33.91220311,46.77114596,7,2026-04-04,4.441327681,Structural Check,114,2026-07-20,33.64241472,46.98938486,5.509728784,Conflict_Risk_High,Auto-Switch,79
Zone_72,Critical,33.16803876,45.11631516,34240,68480,17120.0,160,352835.9648,194379.5366,1556.968316,HopeBridge,SR Harbor Link,Medium,32.93848494,45.44884351,12,2026-04-09,8.365775158,Structural Check,82,2026-06-18,33.61934767,44.6895865,3.984053901,Conflict_Risk_High,Primary,59
Zone_73,Critical,32.21046595,43.22928764,30991,61982,15495.5,128,206530.1752,147427.8002,153.3230507,HopeBridge,R-22 Desert Track,High,32.11082154,43.44409834,5,2026-04-02,3.9753557,Structural Check,60,2026-05-27,32.27525669,42.72990203,5.279667126,Conflict_Risk_High,Auto-Switch,67
Zone_74,Moderate,32.08936967,47.26698047,27745,55490,13872.5,100,461896.6827,158331.6136,822.4276648,GlobalRelief,R-17 Mountain Pass,Low,32.45976558,47.49722464,12,2026-04-09,3.72397872,Generator Service,51,2026-05-18,31.69518322,46.60342184,3.213382822,Primary_Maintenance,Fallback,64
Zone_75,Moderate,36.93861195,47.27749113,27077,54154,13538.5,248,177801.5874,118680.8242,2006.894454,SolidarityAid,R-09 Hill Corridor,High,36.79777377,47.28996583,13,2026-04-10,2.840976052,Routine Inspection,40,2026-05-07,36.99798613,46.90934924,3.145375207,Conflict_Risk_High,Fallback,95
Zone_76,Moderate,34.13886567,47.22347055,10788,21576,5394.0,153,167967.5436,30390.00809,562.2638348,MedGlobal,R-22 Desert Track,High,34.2391187,47.43558861,6,2026-04-03,5.321557432,Vehicle Maintenance,63,2026-05-30,33.958422,47.60733724,5.768654954,Route_Disruption,Fallback,75
Zone_77,Moderate,33.92163324,43.43277727,5201,10402,2600.5,230,92933.76976,29598.40139,510.7470951,ReliefAid Intl,SR Harbor Link,High,33.53968774,43.3554642,5,2026-04-02,2.99888299,Structural Check,44,2026-05-11,34.19813189,43.06883105,9.587138759,Route_Disruption,Fallback,37
Zone_78,Critical,35.39823641,44.70743607,27544,55088,13772.0,96,496128.8611,65495.05643,221.8231508,MedGlobal,R-17 Mountain Pass,Low,34.9545114,44.85892522,7,2026-04-04,6.005915633,Routine Inspection,39,2026-05-06,35.36434772,45.02818066,9.099501389,Conflict_Risk_High,Primary,97
Zone_79,Severe,33.09126944,47.90993794,15561,31122,7780.5,207,296739.5903,41405.68308,1506.315103,SolidarityAid,R-31 Eastern Bypass,Low,33.00326343,47.66897715,8,2026-04-05,3.008538563,Vehicle Maintenance,82,2026-06-18,33.56182737,47.56260951,6.580099837,Primary_Maintenance,Primary,66
Zone_80,Critical,36.74980592,46.63207486,21901,43802,10950.5,109,469933.8838,98643.02581,739.5932659,MedGlobal,R-09 Hill Corridor,Medium,36.82872245,46.20183187,5,2026-04-02,5.748376565,Generator Service,77,2026-06-13,36.99910744,46.48548435,6.956584668,Primary_Maintenance,Auto-Switch,42
Zone_81,Moderate,35.93172507,42.16300453,12737,25474,6368.5,33,178307.5536,61476.16854,265.4754653,RescueFront,SR Ridge Road,Low,35.82442419,42.07647779,4,2026-04-01,7.370750055,Routine Inspection,60,2026-05-27,36.19008728,42.83943173,3.041534477,Primary_Maintenance,Primary,74
Zone_82,Moderate,32.44705501,42.39122755,30917,61834,15458.5,114,575210.2839,174588.8376,1075.855683,RescueFront,R-09 Hill Corridor,Low,32.52479078,42.3530057,13,2026-04-10,2.276410118,Generator Service,66,2026-06-02,32.05107248,42.03396397,4.508508091,Route_Disruption,Primary,58
Zone_83,Severe,34.08790388,44.78358826,34352,68704,17176.0,73,562804.4361,69528.86178,527.5962777,GlobalRelief,SR Coastal Highway,Low,34.10298826,44.53999542,8,2026-04-05,4.728355337,Vehicle Maintenance,57,2026-05-24,34.76585355,44.61050714,3.173418889,Primary_Maintenance,Auto-Switch,70
Zone_84,Critical,36.39559154,47.45532124,6988,13976,3494.0,151,54036.79799,34870.05135,362.8022382,HopeBridge,SR Lake Access,Medium,36.58129877,47.68303075,12,2026-04-09,4.996818287,Structural Check,60,2026-05-27,36.87393683,47.17684329,8.281776729,Conflict_Risk_Medium,Fallback,85
Zone_85,Severe,36.72366011,45.23221079,20441,40882,10220.5,58,92266.44062,95924.09939,185.077046,SolidarityAid,R-09 Hill Corridor,Medium,36.87319254,44.80576127,8,2026-04-05,7.141968933,Generator Service,99,2026-07-05,37.12826695,44.68568577,4.019520572,Conflict_Risk_Medium,Auto-Switch,45
Zone_86,Severe,34.33700756,44.98687505,16737,33474,8368.5,91,162195.3834,22075.64744,780.7566656,SolidarityAid,SR Harbor Link,Low,34.26125326,44.70962337,13,2026-04-10,5.041451608,Routine Inspection,43,2026-05-10,34.09930887,44.97272685,9.083329717,Primary_Maintenance,Auto-Switch,41
Zone_87,Moderate,35.06705695,42.6328422,34096,68192,17048.0,44,438497.545,100109.8011,126.885206,MedGlobal,SR Coastal Highway,Low,34.99205219,42.88140692,12,2026-04-09,5.688982612,Structural Check,116,2026-07-22,35.11694126,42.46300913,7.503270196,Conflict_Risk_Medium,Fallback,95
Zone_88,Moderate,32.83516973,45.94068063,19256,38512,9628.0,96,314683.8413,46480.65821,158.6592818,GlobalRelief,R-04 Pine Road,Medium,32.47594807,45.8778049,13,2026-04-10,7.142827648,Routine Inspection,45,2026-05-12,32.32711419,46.21352255,4.605930736,Conflict_Risk_High,Auto-Switch,91
